model,register,rarity,layer,auroc,ci_lo,ci_hi,n
qwen2.5-7b-instruct,clinical_note,rare,9,0.5685595567867036,0.4660318559556786,0.6717797783933518,76.0
qwen2.5-7b-instruct,colloquial,common,9,0.5350609829730708,0.5059845429295978,0.5652346334983698,910.0
qwen2.5-7b-instruct,colloquial,rare,9,0.6308864265927978,0.5408414127423823,0.7340720221606648,76.0
qwen2.5-7b-instruct,textbook,common,11,0.7416251697600725,0.6784574468085106,0.8014033499320959,188.0
qwen2.5-7b-instruct,textbook,rare,11,0.5625,0.1875,0.8125,8.0
qwen2.5-7b-instruct,patient,common,11,0.6429996377249125,0.6173207342108441,0.6686647747856539,910.0
qwen2.5-7b-instruct,patient,rare,11,0.7056786703601108,0.6059383656509696,0.7977839335180056,76.0
qwen2.5-7b-instruct,clinical_note,common,11,0.5637435092380148,0.5384362999637724,0.5897080062794348,910.0
qwen2.5-7b-instruct,clinical_note,rare,11,0.5526315789473684,0.4528739612188365,0.6448060941828255,76.0
qwen2.5-7b-instruct,colloquial,common,11,0.5673855814515155,0.5414575534355754,0.5951779978263495,910.0
qwen2.5-7b-instruct,colloquial,rare,11,0.6260387811634349,0.5249134349030471,0.7292416897506926,76.0
qwen2.5-7b-instruct,textbook,common,13,0.7358533272974196,0.6669307378904482,0.7986702127659574,188.0
qwen2.5-7b-instruct,textbook,rare,13,0.5625,0.1875,0.8125,8.0
qwen2.5-7b-instruct,patient,common,13,0.6700591715976331,0.6432113271344041,0.6992333051563822,910.0
qwen2.5-7b-instruct,patient,rare,13,0.6918282548476453,0.576159972299169,0.7970914127423823,76.0
qwen2.5-7b-instruct,clinical_note,common,13,0.5897403695205893,0.5658913174737351,0.6168869701726843,910.0
qwen2.5-7b-instruct,clinical_note,rare,13,0.6225761772853184,0.5263157894736842,0.7264716066481993,76.0
qwen2.5-7b-instruct,colloquial,common,13,0.6003574447530491,0.5750382804009178,0.6279245260234273,910.0
qwen2.5-7b-instruct,colloquial,rare,13,0.6710526315789473,0.5678324099722992,0.7721952908587257,76.0
qwen2.5-7b-instruct,textbook,common,15,0.7576957899502037,0.6962341557265731,0.8128168854685377,188.0
qwen2.5-7b-instruct,textbook,rare,15,0.6875,0.25,1.0,8.0
qwen2.5-7b-instruct,patient,common,15,0.5895012679628064,0.5646811979229561,0.6172078251418912,910.0
qwen2.5-7b-instruct,patient,rare,15,0.6014542936288089,0.4971952908587257,0.7057306094182825,76.0
qwen2.5-7b-instruct,clinical_note,common,15,0.608399951696655,0.5827758724791691,0.6369477116290303,910.0
qwen2.5-7b-instruct,clinical_note,rare,15,0.6142659279778393,0.5214681440443213,0.7077562326869806,76.0
qwen2.5-7b-instruct,colloquial,common,15,0.5574737350561526,0.530020106267359,0.5867956768506218,910.0
qwen2.5-7b-instruct,colloquial,rare,15,0.5380886426592798,0.4293109418282548,0.6502770083102493,76.0
qwen2.5-7b-instruct,textbook,common,17,0.7900633770937077,0.7286045722046175,0.8475554549569941,188.0
qwen2.5-7b-instruct,textbook,rare,17,0.6875,0.6875,1.0,8.0
qwen2.5-7b-instruct,patient,common,17,0.6646733486293925,0.6382343316024636,0.6939969206617559,910.0
qwen2.5-7b-instruct,patient,rare,17,0.6890581717451523,0.5810076177285318,0.7881059556786704,76.0
qwen2.5-7b-instruct,clinical_note,common,17,0.6651370607414564,0.6389067745441371,0.6930687115082719,910.0
qwen2.5-7b-instruct,clinical_note,rare,17,0.7278393351800554,0.6335526315789474,0.8262465373961216,76.0
qwen2.5-7b-instruct,colloquial,common,17,0.6655041661635068,0.6343224248279193,0.6951335587489433,910.0
qwen2.5-7b-instruct,colloquial,rare,17,0.7548476454293628,0.6814404432132964,0.8351973684210527,76.0
